,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Predicted Price
0,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,04:25 07 Jun,10h 55m,1 stop,No info,16463.0
1,IndiGo,12/05/2019,Kolkata,Banglore,CCU → MAA → BLR,06:20,10:20,4h,1 stop,No info,28965.0
2,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,19:15,19:00 22 May,23h 45m,1 stop,In-flight meal not included,15621.0
3,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,16757.0
4,Air Asia,24/06/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 25 Jun,2h 50m,non-stop,No info,27144.0
5,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,18:15,12:35 13 Jun,18h 20m,1 stop,In-flight meal not included,15222.0
6,Air India,12/03/2019,Banglore,New Delhi,BLR → TRV → DEL,07:30,22:35,15h 5m,1 stop,No info,11331.0
7,IndiGo,1/05/2019,Kolkata,Banglore,CCU → HYD → BLR,15:15,20:30,5h 15m,1 stop,No info,32865.0
8,IndiGo,15/03/2019,Kolkata,Banglore,CCU → BLR,10:10,12:55,2h 45m,non-stop,No info,28022.0
9,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,22:35,6h 5m,1 stop,No info,22971.0
10,Jet Airways,21/03/2019,Delhi,Cochin,DEL → MAA → BOM → COK,13:55,18:50 22 Mar,28h 55m,2 stops,In-flight meal not included,16540.0
11,IndiGo,15/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,16445.0
12,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:15,10h 15m,1 stop,No info,16499.0
13,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,10:25,4h 40m,1 stop,No info,8435.0
14,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,12:35 04 Jun,17h 20m,1 stop,In-flight meal not included,15532.0
15,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,21:25,08:15 07 Mar,10h 50m,1 stop,No info,13560.0
16,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1 stop,No info,15997.0
17,Vistara,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,09:55,22:10,12h 15m,1 stop,No info,17673.0
18,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 13 Jun,9h 10m,1 stop,In-flight meal not included,16897.0
19,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,08:15 13 Mar,9h 20m,1 stop,No info,11813.0
20,IndiGo,6/03/2019,Delhi,Cochin,DEL → BOM → COK,10:45,01:35 07 Mar,14h 50m,1 stop,No info,14196.0
21,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 10 May,14h 5m,1 stop,In-flight meal not included,16671.0
22,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,21:25,09:00 16 Mar,11h 35m,1 stop,In-flight meal not included,11222.0
23,Jet Airways,9/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,21053.0
24,Air India,6/04/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,28163.0
25,Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,16:00,04:25 22 Mar,12h 25m,1 stop,In-flight meal not included,15968.0
26,IndiGo,15/05/2019,Kolkata,Banglore,CCU → BLR,15:15,17:45,2h 30m,non-stop,No info,27800.0
27,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 22 May,25h 30m,1 stop,No info,15237.0
28,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,04:25 07 Jun,19h 25m,1 stop,In-flight meal not included,16933.0
29,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,No info,19128.0
30,Air Asia,3/03/2019,Kolkata,Banglore,CCU → BLR,22:50,01:20 04 Mar,2h 30m,non-stop,No info,28491.0
31,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,13:55,01:35 28 Mar,11h 40m,1 stop,No info,10781.0
32,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:30,12:35,7h 5m,2 stops,No info,23967.0
33,Jet Airways,12/06/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,29004.0
34,Jet Airways,15/03/2019,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1h 25m,non-stop,In-flight meal not included,26095.0
35,SpiceJet,15/06/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,26767.0
36,Jet Airways,18/03/2019,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1h 25m,non-stop,No info,26048.0
37,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,23:00,6h 5m,1 stop,No info,12799.0
38,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 10 May,17h 5m,1 stop,In-flight meal not included,15970.0
39,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,10h 40m,1 stop,No info,16502.0
40,SpiceJet,12/05/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,27549.0
41,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 16 May,12h 30m,1 stop,No info,9992.0
42,SpiceJet,9/06/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 10 Jun,1h 30m,non-stop,No info,26405.0
43,Air India,15/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,07:40 16 Jun,23h 40m,1 stop,No info,17493.0
44,IndiGo,1/05/2019,Kolkata,Banglore,CCU → PNQ → BLR,21:00,02:15 02 May,5h 15m,1 stop,No info,28316.0
